id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,latitude,longitude,location
10395382,HZ131597,2016-01-28T10:18:00,066XX S HALSTED ST,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,true,false,723,7,6,68,26,41.773040679,-87.644610137,POINT(-87.644610137 41.773040679)
10395387,HZ131529,2016-01-28T09:28:00,026XX W 21ST PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1023,10,28,30,08B,41.852871362,-87.691460302,POINT(-87.691460302 41.852871362)
10395388,HZ131616,2016-01-28T10:00:00,0000X W TERMINAL ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,true,false,1653,16,41,76,18,41.976762981,-87.900983721,POINT(-87.900983721 41.976762981)
10395393,HZ131339,2016-01-28T04:45:00,042XX W MADISON ST,031A,ROBBERY,ARMED: HANDGUN,ALLEY,false,false,1115,11,28,26,03,41.880656606,-87.731436149,POINT(-87.731436149 41.880656606)
10395395,HZ131611,2016-01-28T10:30:00,025XX N NARRAGANSETT AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,2512,25,36,19,06,41.926287021,-87.785547998,POINT(-87.785547998 41.926287021)
10395398,HZ131539,2016-01-28T08:40:00,008XX W 119TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,524,5,34,53,06,41.677799762,-87.642881123,POINT(-87.642881123 41.677799762)
10395410,HZ131583,2016-01-28T10:00:00,091XX S COMMERCIAL AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,true,false,424,4,10,46,04A,41.729431605,-87.55123951,POINT(-87.55123951 41.729431605)
10395435,HZ131527,2016-01-28T08:40:00,012XX W 96TH ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,2213,22,21,73,08A,41.719190117,-87.653994739,POINT(-87.653994739 41.719190117)
10395439,HZ131600,2016-01-28T10:07:00,0000X N KARLOV AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1115,11,28,26,18,41.881092036,-87.728130798,POINT(-87.728130798 41.881092036)
10395441,HZ131647,2016-01-28T05:00:00,101XX S ST LAWRENCE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,511,5,9,49,11,41.710451697,-87.608980447,POINT(-87.608980447 41.710451697)
10395442,HZ131382,2016-01-28T01:33:00,098XX S DAMEN AVE,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,false,false,2213,22,19,72,07,41.715133106,-87.672189723,POINT(-87.672189723 41.715133106)
10395445,HZ131519,2016-01-28T09:09:00,061XX S DR MARTIN LUTHER KING JR DR,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,311,3,20,40,18,41.783174011,-87.61569728,POINT(-87.61569728 41.783174011)
10395454,HZ131564,2016-01-28T09:09:00,036XX W ROOSEVELT RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1133,11,24,29,18,41.866279524,-87.716959233,POINT(-87.716959233 41.866279524)
10395456,HZ131661,2016-01-28T00:01:00,083XX S DR MARTIN LUTHER KING JR DR,0820,THEFT,$500 AND UNDER,STREET,false,false,632,6,6,44,06,41.743356333,-87.614711765,POINT(-87.614711765 41.743356333)
10395462,HZ131619,2016-01-28T10:30:00,021XX E 87TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",true,false,412,4,8,45,18,41.737094305,-87.572998178,POINT(-87.572998178 41.737094305)
